2018.11.14 21:17:53	 0KB	 0KB
2018.11.14 21:17:54	 3KB	 0KB
2018.11.14 21:17:55	 2KB	 0KB
2018.11.14 21:17:56	 0KB	 0KB
2018.11.14 21:17:57	 123KB	 7KB
2018.11.14 21:18:39	 3KB	 1KB
2018.11.14 21:18:40	 0KB	 0KB
2018.11.14 21:18:41	 0KB	 0KB
2018.11.14 21:18:42	 1KB	 0KB
2018.11.14 21:18:43	 2KB	 0KB
2018.11.14 21:18:44	 0KB	 0KB
2018.11.14 21:18:45	 2KB	 0KB
2018.11.14 21:18:46	 0KB	 0KB
2018.11.14 21:18:47	 1KB	 5KB
2018.11.14 21:18:48	 3KB	 0KB
2018.11.14 21:18:49	 0KB	 0KB
2018.11.14 21:18:50	 2KB	 0KB
2018.11.14 21:18:51	 2KB	 0KB
2018.11.14 21:18:52	 0KB	 0KB
2018.11.14 21:18:53	 0KB	 0KB
2018.11.14 21:18:54	 3KB	 0KB
2018.11.14 21:20:48	 0KB	 0KB
2018.11.14 21:20:48	 1KB	 5KB
2018.11.14 21:20:49	 1KB	 0KB
2018.11.14 21:20:50	 1KB	 0KB
2018.11.14 21:21:00	 0KB	 0KB
2018.11.14 21:21:01	 3KB	 0KB
2018.11.14 21:21:02	 0KB	 0KB
2018.11.14 21:21:03	 0KB	 1KB
2018.11.14 21:21:04	 1KB	 0KB
2018.11.14 21:21:05	 0KB	 0KB
2018.11.14 21:22:47	 0KB	 0KB
2018.11.14 21:22:47	 0KB	 0KB
2018.11.14 21:22:48	 0KB	 0KB
2018.11.14 21:22:49	 2KB	 0KB
2018.11.14 21:22:58	 0KB	 0KB
2018.11.14 21:22:59	 4KB	 0KB
2018.11.14 21:23:00	 0KB	 0KB
2018.11.14 21:23:01	 0KB	 0KB
2018.11.14 21:23:02	 0KB	 0KB
2018.11.14 21:23:03	 0KB	 0KB
2018.11.14 21:23:04	 1KB	 1KB
2018.11.14 21:25:27	 0KB	 0KB
2018.11.14 21:25:28	 0KB	 0KB
2018.11.14 21:25:29	 4KB	 0KB
2018.11.14 21:25:30	 0KB	 0KB
2018.11.14 21:25:31	 0KB	 0KB
2018.11.14 21:25:32	 0KB	 1KB
2018.11.14 21:25:33	 5KB	 34KB
2018.11.14 21:25:34	 2KB	 0KB
2018.11.14 21:25:35	 2KB	 0KB
2018.11.14 21:25:36	 0KB	 0KB
2018.11.14 21:27:13	 6KB	 2KB
2018.11.14 21:27:13	 0KB	 0KB
2018.11.14 21:27:14	 20KB	 2KB
2018.11.14 21:27:15	 13KB	 2KB
2018.11.14 21:27:16	 10KB	 23KB
2018.11.14 21:27:17	 59KB	 2KB
2018.11.14 21:27:18	 24KB	 14KB
2018.11.14 21:27:19	 5KB	 15KB
2018.11.14 21:27:20	 0KB	 0KB
2018.11.14 21:27:36	 2KB	 32KB
2018.11.14 21:27:37	 2KB	 0KB
2018.11.14 21:27:38	 0KB	 1KB
2018.11.14 21:27:39	 3KB	 8KB
2018.11.14 21:27:40	 1KB	 0KB
2018.11.14 21:27:41	 0KB	 0KB
2018.11.14 21:27:42	 1KB	 0KB
2018.11.14 21:27:43	 1KB	 0KB
2018.11.14 21:48:59	 3KB	 1KB
2018.11.14 21:49:00	 0KB	 0KB
2018.11.14 21:49:01	 6KB	 1KB
2018.11.14 21:49:02	 1KB	 0KB
2018.11.14 21:49:03	 2KB	 0KB
2018.11.14 21:49:04	 1KB	 1KB
2018.11.14 21:49:05	 1KB	 0KB
2018.11.14 21:49:06	 4KB	 2KB
2018.11.14 21:49:07	 2KB	 0KB
2018.11.14 21:49:08	 2KB	 1KB
2018.11.14 21:49:09	 3KB	 34KB
2018.11.14 21:49:10	 1KB	 0KB
2018.11.14 21:49:11	 0KB	 0KB
2018.11.14 21:49:50	 0KB	 0KB
2018.11.14 21:49:51	 0KB	 0KB
2018.11.14 21:49:52	 1KB	 0KB
2018.11.14 21:49:53	 1KB	 0KB
2018.11.14 21:49:54	 5KB	 0KB
2018.11.14 21:49:55	 1KB	 0KB
2018.11.14 21:49:56	 0KB	 0KB
2018.11.14 21:49:57	 0KB	 0KB
2018.11.14 22:05:01	 3KB	 26KB
2018.11.14 22:05:02	 2KB	 0KB
2018.11.14 22:05:03	 0KB	 0KB
2018.11.14 22:05:04	 5KB	 2KB
2018.11.14 22:05:05	 1KB	 0KB
2018.11.14 22:05:06	 2KB	 9KB
2018.11.14 22:05:07	 1KB	 0KB
2018.11.14 22:05:08	 0KB	 0KB
2018.11.14 22:05:09	 4KB	 1KB
2018.11.14 22:05:10	 0KB	 0KB
2018.11.14 22:05:11	 0KB	 0KB
2018.11.14 22:05:12	 3KB	 0KB
2018.11.14 22:05:13	 4KB	 3KB
2018.11.14 22:05:14	 2KB	 0KB
2018.11.14 22:05:15	 0KB	 0KB
2018.11.14 22:05:16	 0KB	 0KB
2018.11.14 22:05:17	 0KB	 0KB
2018.11.14 22:05:22	 0KB	 0KB
2018.11.14 22:05:23	 0KB	 0KB
2018.11.14 22:05:24	 20KB	 229KB
2018.11.14 22:05:25	 2KB	 0KB
2018.11.14 22:05:26	 1KB	 0KB
2018.11.14 22:05:27	 2KB	 1KB
2018.11.14 22:05:28	 0KB	 0KB
2018.11.14 22:05:29	 7KB	 3KB
2018.11.14 22:05:30	 0KB	 0KB
2018.11.14 22:05:31	 2KB	 0KB
2018.11.14 22:05:32	 0KB	 34KB
2018.11.14 22:05:33	 5KB	 12KB
2018.11.14 22:05:34	 0KB	 0KB
2018.11.14 22:05:35	 0KB	 0KB
2018.11.14 22:05:36	 3KB	 0KB
2018.11.14 22:05:37	 0KB	 0KB
2018.11.14 22:05:38	 0KB	 0KB
2018.11.14 22:05:39	 1KB	 0KB
2018.11.14 22:05:40	 1KB	 0KB
2018.11.14 22:05:41	 2KB	 0KB
2018.11.14 22:05:42	 0KB	 0KB
2018.11.14 22:05:43	 0KB	 0KB
2018.11.14 22:05:44	 0KB	 0KB
2018.11.14 22:05:45	 0KB	 0KB
2018.11.14 22:05:46	 4KB	 13KB
2018.11.14 22:05:47	 18KB	 0KB
2018.11.14 22:05:48	 0KB	 0KB
2018.11.14 22:05:49	 1KB	 2KB
2018.11.14 22:06:59	 0KB	 0KB
2018.11.14 22:07:00	 0KB	 0KB
2018.11.14 22:07:01	 3KB	 0KB
2018.11.14 22:07:02	 0KB	 0KB
2018.11.14 22:07:03	 2KB	 0KB
2018.11.14 22:07:04	 0KB	 1KB
2018.11.14 22:07:05	 3KB	 27KB
2018.11.14 22:07:06	 6KB	 11KB
2018.11.14 22:07:07	 4KB	 0KB
2018.11.14 22:07:13	 2KB	 0KB
2018.11.14 22:07:13	 0KB	 0KB
2018.11.14 22:07:14	 0KB	 0KB
2018.11.14 22:07:15	 0KB	 0KB
2018.11.14 22:07:16	 0KB	 0KB
2018.11.14 22:07:17	 2KB	 0KB
2018.11.14 22:07:18	 0KB	 0KB
2018.11.14 22:07:19	 15KB	 0KB
2018.11.14 22:07:20	 0KB	 0KB
2018.11.14 22:07:21	 37KB	 7KB
2018.11.14 22:07:27	 2KB	 1KB
2018.11.14 22:07:28	 2KB	 0KB
2018.11.14 22:07:29	 0KB	 1KB
2018.11.14 22:07:30	 2KB	 0KB
2018.11.14 22:07:31	 0KB	 0KB
2018.11.14 22:07:32	 0KB	 0KB
2018.11.14 22:07:33	 0KB	 0KB
2018.11.14 22:07:34	 2KB	 0KB
2018.11.14 22:07:35	 0KB	 1KB
2018.11.14 22:07:36	 5KB	 63KB
2018.11.14 22:07:37	 0KB	 0KB
2018.11.14 22:07:47	 0KB	 0KB
2018.11.14 22:07:47	 0KB	 0KB
2018.11.14 22:07:48	 0KB	 0KB
2018.11.14 22:16:24	 1KB	 2KB
2018.11.14 22:16:24	 0KB	 0KB
2018.11.14 22:16:25	 0KB	 0KB
2018.11.14 22:16:26	 3KB	 0KB
2018.11.14 22:16:27	 0KB	 0KB
2018.11.14 22:16:28	 2KB	 0KB
2018.11.14 22:16:29	 0KB	 0KB
2018.11.14 22:16:30	 0KB	 0KB
2018.11.14 22:16:31	 0KB	 0KB
2018.11.14 22:16:32	 0KB	 0KB
2018.11.14 22:16:33	 2KB	 0KB
2018.11.14 22:16:34	 0KB	 0KB
2018.11.14 22:16:35	 8KB	 11KB
2018.11.14 22:16:36	 0KB	 1KB
2018.11.14 22:16:37	 2KB	 29KB
2018.11.14 22:16:38	 2KB	 1KB
2018.11.14 22:16:39	 2KB	 0KB
2018.11.14 22:16:40	 0KB	 0KB
2018.11.14 22:16:41	 0KB	 0KB
2018.11.14 22:16:42	 0KB	 0KB
2018.11.14 22:16:43	 0KB	 0KB
2018.11.14 22:16:44	 4KB	 5KB
2018.11.14 22:24:08	 4KB	 33KB
2018.11.14 22:24:09	 3KB	 0KB
2018.11.14 22:24:10	 0KB	 0KB
2018.11.14 22:24:11	 0KB	 0KB
2018.11.14 22:24:12	 0KB	 0KB
2018.11.14 22:24:13	 0KB	 0KB
2018.11.14 22:26:20	 0KB	 0KB
2018.11.14 22:26:21	 0KB	 0KB
2018.11.14 22:26:22	 2KB	 1KB
2018.11.14 22:26:45	 2KB	 1KB
2018.11.14 22:26:46	 0KB	 0KB
2018.11.14 22:26:47	 0KB	 0KB
2018.11.14 22:26:48	 4KB	 1KB
2018.11.14 22:26:49	 0KB	 0KB
2018.11.14 22:26:50	 0KB	 0KB
2018.11.14 22:27:00	 2KB	 0KB
2018.11.14 22:27:01	 5KB	 1KB
2018.11.14 22:27:02	 7KB	 29KB
2018.11.14 22:27:03	 8KB	 8KB
2018.11.14 22:27:40	 5KB	 1KB
2018.11.14 22:27:41	 7KB	 3KB
2018.11.14 22:27:42	 9KB	 1KB
2018.11.14 22:27:43	 7KB	 2KB
2018.11.14 22:27:44	 2KB	 1KB
2018.11.14 22:27:45	 0KB	 0KB
2018.11.14 22:27:46	 2KB	 1KB
2018.11.14 22:27:47	 2KB	 0KB
2018.11.14 22:27:48	 0KB	 0KB
2018.11.14 22:27:49	 2KB	 1KB
2018.11.14 22:27:50	 0KB	 0KB
2018.11.14 22:27:51	 0KB	 0KB
2018.11.14 22:27:52	 1KB	 0KB
2018.11.14 22:27:53	 2KB	 0KB
2018.11.14 22:27:54	 0KB	 0KB
2018.11.14 22:27:55	 3KB	 5KB
2018.11.14 22:27:56	 0KB	 0KB
2018.11.14 22:27:57	 0KB	 0KB
2018.11.14 22:27:58	 4KB	 0KB
2018.11.14 22:27:59	 0KB	 0KB
2018.11.14 22:28:00	 0KB	 0KB
2018.11.14 22:28:01	 0KB	 0KB
2018.11.14 22:28:02	 205KB	 22KB
2018.11.14 22:28:03	 77KB	 6KB
2018.11.14 22:28:04	 29KB	 42KB
2018.11.14 22:28:05	 21KB	 9KB
2018.11.14 22:28:06	 10KB	 12KB
2018.11.14 22:30:36	 5KB	 2KB
2018.11.14 22:30:37	 0KB	 0KB
2018.11.14 22:30:38	 5KB	 30KB
2018.11.14 22:30:39	 1KB	 0KB
2018.11.14 22:30:40	 0KB	 0KB
2018.11.14 22:30:41	 0KB	 0KB
2018.11.14 22:30:42	 0KB	 0KB
2018.11.14 22:30:43	 0KB	 0KB
2018.11.14 22:30:44	 4KB	 1KB
2018.11.14 22:30:45	 1KB	 0KB
2018.11.14 22:30:46	 0KB	 0KB
2018.11.14 22:30:47	 0KB	 0KB
2018.11.14 22:30:48	 0KB	 0KB
2018.11.14 22:30:49	 5KB	 1KB
2018.11.14 22:30:50	 0KB	 0KB
2018.11.14 22:30:51	 0KB	 0KB
2018.11.14 22:30:52	 1KB	 1KB
2018.11.14 22:30:53	 1KB	 0KB
2018.11.14 22:30:54	 3KB	 0KB
2018.11.14 22:30:55	 0KB	 0KB
2018.11.14 22:30:56	 2KB	 0KB
2018.11.14 22:30:57	 0KB	 0KB
2018.11.14 22:30:58	 3KB	 5KB
2018.11.14 22:33:28	 0KB	 0KB
2018.11.14 22:33:29	 2KB	 1KB
2018.11.14 22:33:30	 3KB	 0KB
2018.11.14 22:33:31	 2KB	 0KB
2018.11.14 22:33:32	 0KB	 0KB
2018.11.14 22:33:33	 0KB	 0KB
2018.11.14 22:33:34	 2KB	 0KB
2018.11.14 22:33:35	 11KB	 2KB
2018.11.14 22:33:36	 7KB	 6KB
2018.11.14 22:33:37	 6KB	 2KB
2018.11.14 22:33:38	 8KB	 3KB
2018.11.14 22:33:39	 7KB	 4KB
2018.11.14 22:33:40	 9KB	 4KB
2018.11.14 22:33:41	 6KB	 1KB
2018.11.14 22:33:42	 6KB	 2KB
2018.11.14 22:33:43	 7KB	 2KB
2018.11.14 22:33:44	 7KB	 2KB
2018.11.14 22:33:45	 10KB	 5KB
2018.11.14 22:33:46	 2KB	 0KB
2018.11.14 22:33:47	 1KB	 7KB
2018.11.14 22:33:48	 0KB	 0KB
2018.11.14 22:33:49	 0KB	 0KB
2018.11.14 22:33:50	 1KB	 1KB
2018.11.14 22:33:51	 2KB	 0KB
2018.11.14 22:33:52	 3KB	 1KB
2018.11.14 22:33:53	 2KB	 1KB
2018.11.14 22:33:54	 1KB	 0KB
2018.11.14 22:33:55	 2KB	 1KB
2018.11.14 22:33:56	 2KB	 0KB
2018.11.14 22:34:17	 0KB	 0KB
2018.11.14 22:34:18	 2KB	 0KB
2018.11.14 22:34:19	 0KB	 0KB
2018.11.14 22:34:20	 0KB	 0KB
2018.11.14 22:34:21	 0KB	 0KB
2018.11.14 22:34:22	 0KB	 1KB
2018.11.14 22:34:23	 2KB	 0KB
2018.11.14 22:34:24	 10KB	 2KB
2018.11.14 22:34:25	 6KB	 2KB
2018.11.14 22:34:26	 4KB	 3KB
2018.11.14 22:34:27	 6KB	 2KB
2018.11.14 22:34:28	 10KB	 6KB
2018.11.14 22:34:29	 11KB	 2KB
2018.11.14 22:34:30	 7KB	 2KB
2018.11.14 22:35:42	 6KB	 2KB
2018.11.14 22:35:43	 6KB	 2KB
2018.11.14 22:37:22	 4KB	 1KB
2018.11.14 22:37:23	 0KB	 0KB
2018.11.14 22:37:24	 0KB	 0KB
2018.11.14 22:37:25	 2KB	 0KB
2018.11.14 22:37:26	 0KB	 0KB
2018.11.14 22:42:01	 8KB	 2KB
2018.11.14 22:42:02	 9KB	 32KB
2018.11.14 22:42:03	 9KB	 3KB
2018.11.14 23:44:04	 0KB	 0KB
2018.11.14 23:44:05	 3KB	 4KB
2018.11.14 23:44:06	 0KB	 0KB
2018.11.14 23:44:07	 2KB	 1KB
2018.11.14 23:44:08	 0KB	 0KB
2018.11.14 23:44:09	 22KB	 27KB
2018.11.14 23:44:10	 6KB	 6KB
2018.11.14 23:44:11	 1KB	 1KB
2018.11.14 23:44:12	 0KB	 2KB
2018.11.14 23:44:13	 0KB	 1KB
2018.11.14 23:44:14	 1KB	 1KB
2018.11.14 23:44:15	 2KB	 5KB
2018.11.14 23:44:16	 0KB	 1KB
2018.11.14 23:50:58	 0KB	 0KB
2018.11.14 23:50:59	 3KB	 5KB
2018.11.14 23:51:00	 4KB	 3KB
2018.11.14 23:51:01	 1KB	 1KB
2018.11.14 23:51:02	 1KB	 0KB
2018.11.14 23:51:03	 6KB	 0KB
2018.11.14 23:51:04	 0KB	 0KB
2018.11.14 23:51:05	 1KB	 2KB
2018.11.14 23:51:06	 1KB	 0KB
2018.11.14 23:51:07	 3KB	 0KB
2018.11.14 23:51:08	 1KB	 0KB
2018.11.14 23:51:09	 2KB	 0KB
2018.11.14 23:51:10	 3KB	 3KB
2018.11.14 23:51:11	 0KB	 0KB
2018.11.14 23:51:12	 0KB	 0KB
2018.11.14 23:51:13	 1KB	 0KB
2018.11.14 23:51:14	 2KB	 0KB
2018.11.14 23:51:15	 0KB	 0KB
2018.11.14 23:51:16	 0KB	 0KB
2018.11.14 23:51:17	 0KB	 0KB
2018.11.14 23:51:18	 0KB	 0KB
2018.11.14 23:51:19	 1KB	 0KB
2018.11.14 23:51:20	 0KB	 0KB
2018.11.14 23:51:21	 1KB	 0KB
2018.11.14 23:51:22	 0KB	 0KB
2018.11.14 23:51:23	 0KB	 0KB
2018.11.14 23:51:24	 1KB	 0KB
2018.11.14 23:51:25	 1KB	 0KB
2018.11.14 23:51:26	 0KB	 0KB
2018.11.14 23:51:27	 2KB	 2KB
2018.11.14 23:51:28	 0KB	 0KB
2018.11.14 23:51:29	 1KB	 3KB
2018.11.14 23:51:30	 2KB	 0KB
2018.11.14 23:51:31	 0KB	 0KB
2018.11.14 23:51:32	 1KB	 0KB
2018.11.14 23:51:33	 1KB	 0KB
2018.11.14 23:51:34	 3KB	 2KB
